date,price
2008-04-01,4.600080273743573
2008-05-01,4.615083426720609
2008-06-01,4.5228182637859735
2008-07-01,4.51878106297903
2008-08-01,4.534116673201555
2008-09-01,4.429437834534763
2008-10-01,4.254661992591788
2008-11-01,4.182514204981316
2008-12-01,4.184178166814941
2009-01-01,4.106580254491828
2009-02-01,3.9929091448731815
2009-03-01,4.065798750125286
2009-04-01,4.16764591838583
2009-05-01,4.224455225614854
2009-06-01,4.218167062797489
2009-07-01,4.295753787726945
2009-08-01,4.33202729133185
2009-09-01,4.362118472023886
2009-10-01,4.347457781660513
2009-11-01,4.407241631281955
2009-12-01,4.42079338752762
2010-01-01,4.389143317859312
2010-02-01,4.419861138858947
2010-03-01,4.474850270972064
2010-04-01,4.494311251069646
2010-05-01,4.4115220294516355
2010-06-01,4.353648478274279
2010-07-01,4.424464175303119
2010-08-01,4.37844050025941
2010-09-01,4.458870155036171
2010-10-01,4.501700057037679
2010-11-01,4.501700057037679
2010-12-01,4.5611672431926245
2011-01-01,4.589445545256577
2011-02-01,4.623593185564867
2011-03-01,4.619378310642819
2011-04-01,4.652262859500378
2011-05-01,4.640985478413354
2011-06-01,4.619026230227627
2011-07-01,4.60376432151459
2011-08-01,4.547219778773058
2011-09-01,4.470111399813126
2011-10-01,4.578863119317491
2011-11-01,4.57479096596655
2011-12-01,4.578863119317491
2012-01-01,4.630516628587431
2012-02-01,4.673006505137087
2012-03-01,4.700290861420694
2012-04-01,4.6979656792954385
2012-05-01,4.636030841049662
2012-06-01,4.670642514194307
2012-07-01,4.687570365606924
2012-08-01,4.712314487256417
2012-09-01,4.7320248377412115
2012-10-01,4.7189832886184035
2012-11-01,4.724627099334605
2012-12-01,4.726454571737034
2013-01-01,4.783444562520576
2013-02-01,4.796122904970557
2013-03-01,4.82895348623259
2013-04-01,4.852421313128923
2013-05-01,4.875756500458955
2013-06-01,4.857044488976913
2013-07-01,4.912708177880741
2013-08-01,4.882257081656728
2013-09-01,4.908550161187602
2013-10-01,4.958678959565131
2013-11-01,4.987886216016318
2013-12-01,5.008067914281281
2014-01-01,4.977597648005767
2014-02-01,5.022108128461029
2014-03-01,5.025965787663855
2014-04-01,5.037297252931364
2014-05-01,5.0602382517744635
2014-06-01,5.075892817858912
2014-07-01,5.067144343046508
2014-08-01,5.105849292665465
2014-09-01,5.087292997249938
2014-10-01,5.115234472647241
2014-11-01,5.142335966360807
2014-12-01,5.134291888598438
2015-01-01,5.109718826430307
2015-02-01,5.164400680678586
2015-03-01,5.144116763803101
2015-04-01,5.158356570937308
2015-05-01,5.171130637199556
2015-06-01,5.145756837166429
2015-07-01,5.17294733370421
2015-08-01,5.110060659522093
2015-09-01,5.079027996368383
2015-10-01,5.165848641514127
2015-11-01,5.169496975362963
